link,image ,title_name ,price
https://www.jiomart.com/p/beauty/maybelline-new-york-colossal-kajal-super-black-0-35-gm/590935355,https://www.jiomart.com/images/product/600x600/940610/maybelline-new-york-colossal-kajal-super-black-0-35-gm-prod-940610-0-202112041345.jpg,"Maybelline New York Colossal Kajal, Super Black 0.35 gm",M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/blue-heaven-lip-bomb-bubblegum-8-gm/590868666,https://www.jiomart.com/images/product/600x600/954859/blue-heaven-lip-bomb-bubblegum-8-gm-prod-954859-0-202111141538.jpg,"Blue Heaven Lip Bomb,Bubblegum 8 gm",M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/revlon-kohl-kajal-black-1-14-gm/590865203,https://www.jiomart.com/images/product/600x600/942035/revlon-kohl-kajal-black-1-14-gm-prod-942035-0-202111121619.jpg,Revlon Kohl Kajal - Black 1.14 Gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/miss-claire-one-stroke-kajal-super-black-kajal-yellow-printing-0-35-gm/590865727,https://www.jiomart.com/images/product/600x600/948564/miss-claire-one-stroke-kajal-super-black-kajal-yellow-printing-0-35-gm-prod-948564-0-202111121700.jpg,Miss Claire One Stroke Kajal Super Black Kajal (Yellow Printing) 0.35 Gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/maybelline-new-york-colossal-kajal-super-black-0-35-gm/590935355,https://www.jiomart.com/images/product/600x600/940610/maybelline-new-york-colossal-kajal-super-black-0-35-gm-prod-940610-0-202112041345.jpg,"Maybelline New York Colossal Kajal, Super Black 0.35 gm",M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/blue-heaven-lip-bomb-bubblegum-8-gm/590868666,https://www.jiomart.com/images/product/600x600/954859/blue-heaven-lip-bomb-bubblegum-8-gm-prod-954859-0-202111141538.jpg,"Blue Heaven Lip Bomb,Bubblegum 8 gm",M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/revlon-kohl-kajal-black-1-14-gm/590865203,https://www.jiomart.com/images/product/600x600/942035/revlon-kohl-kajal-black-1-14-gm-prod-942035-0-202111121619.jpg,Revlon Kohl Kajal - Black 1.14 Gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/miss-claire-one-stroke-kajal-super-black-kajal-yellow-printing-0-35-gm/590865727,https://www.jiomart.com/images/product/600x600/948564/miss-claire-one-stroke-kajal-super-black-kajal-yellow-printing-0-35-gm-prod-948564-0-202111121700.jpg,Miss Claire One Stroke Kajal Super Black Kajal (Yellow Printing) 0.35 Gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/blue-heaven-2x-intense-kajal-black-shock-0-35-gm/590864946,https://www.jiomart.com/images/product/600x600/954716/blue-heaven-2x-intense-kajal-black-shock-0-35-gm-prod-954716-0-202111140558.jpg,"Blue Heaven 2X intense Kajal, Black Shock 0.35 gm",M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/streetwear-compact-light-7-gm/590864745,https://www.jiomart.com/images/product/600x600/944470/streetwear-compact-light-7-gm-prod-944470-0-202111121558.jpg,Streetwear Compact - Light 7 Gm,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/house-of-makeup-matte-nail-lacquer-lavender-dust-12-ml/592760119,https://www.jiomart.com/images/product/600x600/980283/house-of-makeup-matte-nail-lacquer-lavender-dust-12-ml-prod-980283-0-202207181427.jpg,House Of Makeup Matte Nail Lacquer - Lavender Dust 12 ml,M.R.P: ₹ 0.00
https://www.jiomart.com/p/beauty/plum-color-affair-nail-polish-pixie-dust-collection-fairy-bloom-148-11-ml/592200185,https://www.jiomart.com/images/product/600x600/1023911/plum-color-affair-nail-polish-pixie-dust-collection-fairy-bloom-148-11-ml-prod-1023911-0-202206242033.jpg,Plum Color Affair Nail Polish Pixie Dust Collection - Fairy Bloom 148 11 ml,M.R.P: ₹ 0.00
